2626.6	4.046167	-76.14602187	39.55522803	1.2943514871	0.0714951187	0.446049509	0.8101325214	0.6762799256	16.655297458	15.609337047	259.97803198	-3.074417475	-5.3492233	331.54381951	1527.0907399	1539.8568769	1483.9354517	1502	5905.87786	5629.5517067	6064.0420467	6089.1826933	5922.1635767	11.782436316	6.3995944397	20.874200486	220.98952789	-0.302667959	0.3315751637	-8.191944631	-1.441805467	0.7677914471	-0.51597948	590.22323108	1607.0838249	464.21771194	1071.6056488	760.51818716
2626.6	4.144854	-76.14602237	39.555227894	1.331118398	0.1551938461	0.538545958	0.7592120544	0.5351366131	16.657604618	15.477672501	257.82094064	-1.998790438	-3.759242562	335.33026634	1507.0005494	1515.8923373	1514.026641	1512.269706	5959.9842	5812.79024	6202.236	6194.93624	6042.48667	13.055685199	10.888099781	21.04893981	220.98952789	-0.50833168	0.093614388	-8.38543063	-1.430211806	0.7149249329	-1.425049522	548.26208105	1607.0838249	450.72176243	928.57142857	563.15046561
2626.6	4.243541	-76.14602291	39.555227845	1.2714353287	0.2256827584	0.477816408	0.6185781922	0.3928491569	16.657218535	15.479507977	257.84547256	-1.582388236	-2.729173757	338.30129592	1479.7432746	1493.2298239	1540.7017607	1539.7432746	5890.5705143	5971.3885214	6246.7163786	6283.5737857	6098.0623	4.8418645617	5.7164808658	19.443542091	220.98952789	-0.604604307	0.2444203732	-8.235647183	-1.272350271	0.66942576	-1.138827023	-532.8217351	-192.8571429	-506.7883452	898.16840835	300
2626.6	4.342228	-76.14602346	39.555227805	1.3091059072	0.2850262316	0.4298697137	0.5061907698	0.2672847258	16.642636975	15.893236799	264.49549961	-1.313226139	-2.280187391	340.1919549	1479.7341686	1493.4472287	1562.5105543	1539.9788915	6025.9126857	5952.3560286	6157.1931714	6375.2117143	6127.6684	3.1886279076	4.4667235073	13.82071018	151.41675375	-0.544197464	0.2668678476	-8.383069522	-1.173726327	0.0699699129	0.1687083498	-703.3721332	-541.8841532	-806.9367124	-1100	-1053.762853
2626.6	4.440915	-76.14602405	39.555227854	1.2233564762	0.332405342	0.5004235106	0.5228400907	0.1514531958	16.610598329	16.685671952	277.15893614	-0.824359884	-2.238762577	341.35528045	1485.9368493	1499.147365	1557.7578888	1545.3157937	5973.3301071	5898.8791071	6107.17975	6115.3138571	6023.6757054	1.0445813177	0.4647664122	8.2694804858	-48.15898167	-0.506748867	0.261138412	-8.368826563	-0.975295362	0.0699699129	0.4694692537	-572.9292949	-541.8841532	-817.7314134	-1100	-1053.762853
2626.6	4.539602	-76.14602465	39.555227907	1.3319213699	0.3703648899	0.5664871305	0.5691706029	0.0552042224	16.579282567	17.538073717	290.7093049	0.339956019	-2.381935387	342.03307751	1507.0829336	1498.0245263	1551.8060686	1558.4614416	5802.3117467	5787.46764	6027.5455867	5804.4378	5855.4406933	2.9861574694	0.1638641071	5.400108746	-48.15898167	-0.595139613	0.2268121907	-8.770806699	-0.528961075	0.0699699129	0.0428578254	-572.9292949	-541.8841532	-806.9367124	-1100	-1053.762853
2626.6	4.638289	-76.14602529	39.555228006	1.4156833913	0.4009867062	0.5733922513	0.5734001131	0.0030026407	16.512816286	19.495309059	321.91770267	1.6641774747	-2.734424072	342.29831278	1537.6371391	1515.7953576	1566.7489338	1579.0232119	5526.64606	5572.32998	5842.67194	5695.8821	5659.38252	8.7298645528	-1.102883928	2.5767095743	-38.42014153	-0.617792048	0.1749230335	-8.834263478	-0.277663342	0.0212535494	0.0264126134	-693.75	-750	-806.9367124	-406.25	-403.2637868
2626.6	4.736976	-76.14602592	39.555228102	1.278798243	0.4263394572	0.5754897004	0.5760066947	-0.024399121	16.532580133	18.626338734	307.94096508	2.3792896515	-3.07317181	342.29894273	1543.4278236	1516.9072547	1558.5721764	1581.4741963	5470.1053867	5537.31616	5761.97248	5708.94848	5619.5856267	5.0187740341	-1.633653927	0.9931721868	15.612622964	-0.576622318	0.2882216416	-9.427769316	-0.261077538	0.0212535494	-1.04359228	-572.9292949	-449.7842674	-306.7636061	132.40224146	-387.5
2626.6	4.835663	-76.14602642	39.555228152	1.3038236355	0.4474140505	0.4707584211	0.4730177034	-0.046176365	16.537400991	18.49588726	305.87333893	2.8042483465	-3.485315895	342.14649238	1539.4032908	1527.3063578	1560.1129393	1575.3548243	5456.1962937	5529.75275	5731.6989	5733.5744062	5612.8055875	2.9053622936	-1.631719137	-0.410334363	15.612622964	-0.578239932	0.2844172049	-9.472471012	-0.220669825	0.0212535494	-0.993100117	-140.941491	-354.7966804	300	249.53566577	-68.70245491
2626.6	5.723846	-76.14602899	39.555229869	1.4161662754	0.8477228158	0.458051606	0.6184329459	0.415509368	16.571058	17.14080218	284.03860337	1.2551363067	-0.914262225	342.4017121	1525.8187503	1522.2416663	1560.0604166	1563.9395834	5282.1925	5429.297975	5879.932825	5920.4085625	5627.9579656	-1.356274679	2.8862727576	-1.083371028	10.456114206	-0.612795727	0.2296332016	-9.792286691	-0.499653754	-0.032247656	-1.009032786	347.35355219	542.01938118	873.33333333	593.75	302.27227879
2626.6	24.967811	-76.14603146	39.555237639	6.7332599828	6.8457371385	0.4846642229	0.5783077545	0.3155003169	16.306216924	19.02415102	310.2117489	-1.314591698	-3.334660338	339.29821861	1618.9028726	1601.2374082	1506.7194385	1539.0431533	5649.662975	5552.366925	5987.9114063	5851.2369875	5760.2945734	-12.31149699	3.3848763714	5.094456866	91.77319035	-0.635078579	0.3493125298	-10.08068258	0.0557349693	0.2649913326	0.288383246	-283.1192898	-554.5561218	468.75	334.42354793	-47.15812059
